,dataset,n_detections_combined,n_detections_split,distance_combined,distance_split,n_experiments
"[7270, 860]",mnist  ,60.0,114.0,3.15609915,3.09294395,2
"[860, 6265]",mnist  ,0.0,111.0,3.88322125,3.53454435,2
"[6265, 4426]",mnist  ,37.0,124.5,2.5166937,2.56074595,2
"[4426, 8322]",mnist  ,60.0,138.5,1.9930653500000002,2.12415385,2
"[8322, 769]",mnist  ,110.0,86.0,2.6167697,2.81292725,2
"[769, 6949]",mnist  ,84.5,80.0,2.8517072,2.99125615,2
"[6949, 5311]",mnist  ,148.0,177.5,2.14647575,2.1845502,2
"[5311, 1184]",mnist  ,244.0,120.5,2.04472045,2.1607259500000002,2
"[1184, 6396]",mnist  ,61.5,72.5,2.6128607500000003,2.6733963000000003,2
"[6396, 8666]",mnist  ,68.0,117.0,2.4141297,2.6364578,2
"[8666, 2047]",mnist  ,75.0,92.5,2.7346642,2.721494,2
"[2047, 1899]",mnist  ,89.0,83.5,2.9926273,3.19771325,2
"[1899, 1267]",mnist  ,72.0,91.0,3.28364,3.3253554000000003,2
"[1267, 3556]",mnist  ,66.0,117.5,2.8410772,2.7925326,2
"[3556, 8838]",mnist  ,115.5,112.5,2.2101478,2.3127937,2
"[8838, 5393]",mnist  ,37.0,38.0,2.9842917,3.1369871499999995,2
"[5393, 8792]",mnist  ,22.0,19.5,3.3768566,3.594972,2
"[8792, 7513]",mnist  ,78.0,71.5,2.3283659,2.32182765,2
"[7513, 7041]",mnist  ,176.0,150.5,1.8119694,1.8385221999999999,2
"[7270, 860, 6265]",mnist  ,47.666666666666664,122.33333333333333,3.2626063666666667,3.158898766666667,3
"[860, 6265, 4426]",mnist  ,10.0,110.66666666666667,2.830147333333334,2.9665907333333332,3
"[6265, 4426, 8322]",mnist  ,82.66666666666667,138.66666666666666,2.4223555,2.5130386999999996,3
"[4426, 8322, 769]",mnist  ,59.666666666666664,94.0,2.3303096,2.4855126666666667,3
"[8322, 769, 6949]",mnist  ,58.666666666666664,109.0,2.6724631999999997,2.8000455,3
"[769, 6949, 5311]",mnist  ,99.0,120.0,2.4235182333333336,2.5257769,3
