original_index,y_orig,y_target,n_particles,n_nodes,distance             ,n_detections,calls,detections_per_node                       ,distribution_scheme       ,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down
7270          ,9     ,3       ,5          ,5      ,0.7736307898298485   ,253         ,25064,"[51, 49, 52, 51, 50]"                    ,embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
7270          ,9     ,3       ,5          ,10     ,0.7736307898298485   ,236         ,25064,"[24, 25, 23, 26, 23, 23, 21, 23, 22, 26]",embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
860           ,4     ,7       ,5          ,5      ,0.16841254282528295  ,296         ,25002,"[75, 56, 54, 55, 56]"                    ,embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
860           ,4     ,7       ,5          ,10     ,0.16841254282528295  ,278         ,25002,"[42, 25, 27, 26, 26, 25, 26, 26, 27, 28]",embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
5734          ,6     ,9       ,5          ,5      ,1.1556107955688601   ,176         ,25002,"[35, 38, 33, 35, 35]"                    ,embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
5734          ,6     ,9       ,5          ,10     ,1.1556107955688601   ,134         ,25002,"[12, 14, 13, 12, 13, 16, 13, 15, 14, 12]",embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
466           ,4     ,6       ,5          ,5      ,1.2982447482949064   ,176         ,25002,"[38, 33, 35, 35, 35]"                    ,embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
466           ,4     ,6       ,5          ,10     ,1.2982447482949064   ,150         ,25002,"[15, 15, 17, 16, 16, 15, 14, 12, 14, 16]",embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
4426          ,0     ,7       ,5          ,5      ,2.6744487690797687   ,217         ,25000,"[63, 40, 40, 37, 37]"                    ,embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
4426          ,0     ,7       ,5          ,10     ,2.6744487690797687   ,196         ,25000,"[38, 19, 16, 17, 16, 17, 19, 20, 17, 17]",embedded_distance_based_20,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
