original_index,y_orig,y_target,n_particles,n_nodes,distance           ,n_detections,calls,detections_per_node                       ,distribution_scheme ,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down,detections_all
7270          ,9     ,3       ,5          ,5      ,0.8509695354879214 ,248         ,25026,"[52, 50, 47, 49, 50]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[385, 113, 86, 168, 420, 399, 442, 190, 105, 100, 108, 85, 84, 56, 69, 51, 51, 51, 53, 51, 51, 51, 53, 55, 56, 51, 55, 51, 51, 51, 62, 56, 51, 62, 51, 51, 51, 51, 51, 51, 51, 57, 51, 51, 51, 51, 51, 58, 62, 51, 51, 51], [102, 83, 93, 454, 286, 203, 588, 195, 104, 96, 97, 86, 68, 67, 58, 51, 51, 51, 52, 51, 56, 58, 51, 51, 51, 51, 51, 53, 56, 59, 51, 51, 51, 51, 51, 51, 52, 52, 51, 51, 51, 51, 54, 51, 51, 51, 51, 55, 51, 51], [193, 105, 119, 312, 146, 273, 518, 184, 97, 104, 94, 112, 96, 67, 51, 51, 51, 51, 51, 51, 53, 51, 51, 51, 61, 57, 55, 65, 56, 58, 51, 61, 51, 51, 51, 56, 58, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51], [419, 69, 134, 349, 415, 391, 176, 83, 116, 93, 101, 73, 74, 69, 51, 51, 51, 53, 51, 58, 51, 51, 51, 58, 51, 51, 51, 67, 55, 51, 51, 51, 57, 54, 51, 52, 56, 55, 51, 51, 51, 51, 51, 51, 51, 51, 51, 53, 51], [244, 76, 250, 376, 527, 162, 161, 109, 116, 84, 94, 82, 65, 67, 61, 52, 51, 51, 51, 51, 51, 51, 58, 55, 57, 62, 51, 51, 55, 51, 64, 55, 51, 51, 51, 51, 54, 51, 53, 51, 51, 51, 51, 51, 54, 52, 51, 52, 54, 51]]"
7270          ,9     ,3       ,5          ,10     ,0.8509695354879214 ,235         ,25026,"[23, 23, 23, 21, 23, 27, 24, 23, 24, 24]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[254, 590, 103, 88, 51, 61, 51, 51, 51, 51, 51, 51, 67, 51, 51, 51, 51, 60, 51, 60, 53, 51, 52], [92, 337, 67, 311, 221, 110, 68, 69, 52, 51, 51, 51, 51, 51, 55, 51, 51, 51, 51, 51, 51, 55, 51], [158, 52, 153, 193, 261, 316, 99, 112, 55, 55, 51, 51, 51, 51, 60, 63, 52, 51, 51, 52, 53, 51, 52], [68, 195, 509, 98, 89, 76, 51, 51, 56, 55, 59, 55, 51, 54, 51, 56, 51, 51, 51, 52, 52], [84, 275, 505, 99, 90, 69, 51, 51, 51, 55, 52, 56, 74, 74, 55, 51, 51, 51, 51, 51, 51, 51, 51], [73, 96, 286, 539, 99, 98, 84, 52, 51, 51, 51, 59, 51, 55, 60, 55, 51, 51, 51, 51, 51, 51, 51, 54, 51, 51, 51], [146, 373, 401, 105, 80, 70, 51, 51, 51, 51, 51, 67, 70, 53, 51, 51, 52, 52, 62, 51, 51, 51, 51, 51], [341, 390, 104, 99, 68, 51, 51, 51, 54, 51, 55, 51, 51, 53, 51, 51, 51, 65, 51, 52, 55, 51, 53], [434, 209, 107, 100, 67, 51, 51, 53, 51, 52, 51, 51, 66, 51, 51, 51, 51, 55, 61, 51, 51, 51, 51, 51], [259, 540, 97, 87, 57, 52, 51, 51, 59, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 57, 51, 51, 51, 53]]"
860           ,4     ,7       ,5          ,5      ,0.17484054437409285,147         ,25014,"[29, 32, 28, 31, 27]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[412, 133, 473, 87, 106, 116, 79, 71, 89, 80, 74, 102, 102, 110, 102, 110, 94, 78, 78, 58, 58, 58, 54, 210, 323, 310, 646, 383, 322], [235, 120, 216, 121, 122, 102, 85, 88, 66, 88, 122, 72, 83, 74, 91, 111, 114, 106, 98, 90, 78, 62, 78, 58, 58, 62, 162, 308, 315, 345, 381, 198], [328, 89, 279, 211, 121, 90, 76, 100, 80, 76, 78, 133, 106, 106, 98, 98, 86, 66, 66, 62, 62, 62, 102, 270, 330, 296, 489, 247], [255, 450, 134, 69, 78, 85, 113, 66, 71, 60, 78, 92, 111, 106, 102, 98, 94, 86, 74, 70, 58, 58, 54, 58, 54, 90, 274, 332, 396, 362, 254], [259, 86, 134, 368, 126, 86, 95, 84, 79, 82, 143, 107, 102, 106, 94, 90, 70, 58, 70, 58, 58, 90, 270, 334, 313, 570, 307]]"
860           ,4     ,7       ,5          ,10     ,0.17484054437409285,127         ,25014,"[14, 12, 14, 12, 12, 13, 13, 11, 15, 11]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[204, 304, 121, 101, 81, 107, 110, 98, 66, 58, 54, 185, 306, 578], [180, 92, 78, 83, 111, 106, 82, 70, 66, 90, 299, 312], [202, 198, 101, 89, 105, 94, 94, 70, 58, 62, 74, 297, 274, 261], [81, 113, 75, 127, 106, 86, 82, 58, 54, 98, 294, 372], [99, 353, 107, 91, 115, 103, 94, 62, 58, 236, 348, 241], [245, 99, 71, 73, 85, 145, 102, 102, 78, 58, 150, 314, 397], [317, 109, 83, 85, 92, 111, 103, 86, 66, 58, 138, 309, 387], [70, 87, 76, 107, 114, 86, 66, 82, 290, 518, 304], [358, 120, 71, 56, 91, 111, 98, 90, 66, 62, 54, 54, 241, 361, 283], [102, 91, 107, 102, 94, 62, 62, 58, 205, 426, 455]]"
5734          ,6     ,9       ,5          ,5      ,1.2077830268753034 ,120         ,25009,"[23, 24, 22, 24, 27]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[1200, 120, 185, 84, 82, 61, 60, 68, 54, 80, 74, 66, 63, 65, 81, 263, 95, 109, 77, 209, 217, 305, 680], [1224, 110, 95, 134, 83, 66, 63, 59, 54, 90, 64, 80, 62, 56, 149, 201, 115, 82, 94, 57, 204, 255, 255, 435], [1095, 168, 157, 138, 63, 65, 64, 57, 69, 85, 62, 63, 77, 263, 148, 139, 57, 54, 196, 232, 253, 467], [1102, 152, 201, 92, 71, 63, 54, 60, 55, 167, 64, 65, 65, 56, 57, 71, 288, 173, 106, 60, 222, 247, 353, 565], [1179, 119, 152, 109, 86, 62, 63, 54, 61, 95, 81, 63, 56, 64, 62, 81, 254, 129, 78, 69, 63, 54, 60, 220, 242, 334, 486]]"
5734          ,6     ,9       ,5          ,10     ,1.2077830268753034 ,92          ,25009,"[8, 8, 9, 9, 11, 9, 10, 7, 10, 11]"      ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[703, 68, 75, 77, 56, 233, 221, 376], [767, 57, 65, 70, 56, 165, 264, 255], [63, 58, 64, 68, 56, 197, 135, 211, 380], [697, 57, 132, 64, 64, 123, 226, 199, 396], [711, 57, 67, 75, 57, 109, 246, 57, 57, 213, 409], [775, 63, 85, 64, 65, 181, 177, 231, 455], [541, 178, 56, 58, 81, 62, 241, 113, 220, 304], [768, 95, 77, 303, 60, 198, 256], [748, 60, 54, 96, 65, 64, 138, 227, 207, 355], [593, 139, 67, 54, 80, 72, 64, 100, 256, 207, 372]]"
466           ,4     ,6       ,5          ,5      ,1.2128382997724727 ,217         ,25005,"[42, 44, 44, 43, 44]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[139, 121, 114, 108, 73, 133, 69, 91, 116, 72, 479, 538, 339, 194, 134, 75, 95, 112, 96, 95, 68, 51, 52, 51, 51, 51, 51, 60, 70, 66, 66, 82, 71, 69, 70, 59, 70, 57, 51, 76, 82, 63], [259, 89, 94, 127, 83, 78, 98, 84, 101, 99, 86, 403, 565, 407, 203, 175, 88, 111, 93, 101, 61, 53, 53, 51, 51, 51, 51, 54, 62, 63, 56, 58, 63, 69, 59, 77, 69, 51, 52, 51, 62, 68, 68, 64], [128, 122, 76, 94, 86, 80, 73, 134, 72, 96, 60, 362, 584, 432, 229, 156, 70, 82, 137, 121, 71, 51, 59, 51, 51, 51, 51, 51, 53, 62, 59, 79, 69, 62, 75, 51, 71, 51, 78, 57, 53, 52, 65, 51], [437, 130, 91, 182, 84, 61, 81, 105, 89, 105, 99, 416, 568, 414, 180, 167, 83, 84, 131, 121, 95, 51, 58, 51, 51, 51, 51, 51, 55, 67, 64, 66, 83, 59, 54, 52, 75, 66, 51, 51, 61, 52, 79], [76, 109, 110, 101, 51, 105, 80, 61, 133, 78, 125, 413, 561, 398, 215, 135, 78, 77, 128, 124, 86, 57, 55, 51, 52, 52, 58, 63, 58, 51, 69, 65, 64, 74, 76, 73, 51, 63, 51, 64, 62, 51, 77, 56]]"
466           ,4     ,6       ,5          ,10     ,1.2128382997724727 ,197         ,25005,"[17, 19, 21, 20, 18, 21, 19, 19, 21, 22]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[112, 69, 126, 429, 517, 89, 127, 62, 51, 51, 52, 77, 78, 65, 67, 58, 63], [196, 115, 132, 69, 86, 478, 440, 133, 78, 51, 52, 51, 55, 66, 73, 65, 63, 59, 66], [110, 105, 54, 85, 100, 98, 52, 402, 528, 117, 84, 53, 51, 51, 63, 66, 64, 57, 56, 74, 88], [261, 126, 72, 120, 379, 551, 89, 111, 84, 54, 51, 51, 51, 53, 55, 59, 69, 64, 71, 52], [98, 80, 108, 459, 414, 79, 122, 63, 51, 51, 55, 51, 75, 58, 52, 85, 60, 120], [93, 134, 106, 94, 52, 358, 537, 90, 128, 58, 51, 51, 64, 58, 75, 79, 53, 81, 51, 51, 68], [144, 61, 99, 106, 415, 477, 87, 122, 66, 51, 51, 58, 67, 75, 75, 82, 51, 68, 79], [126, 68, 90, 393, 519, 76, 150, 51, 57, 60, 57, 51, 73, 59, 63, 68, 66, 58, 62], [104, 134, 97, 86, 54, 352, 414, 163, 85, 127, 65, 53, 51, 56, 71, 70, 59, 63, 60, 66, 63], [76, 112, 83, 117, 106, 102, 390, 527, 88, 135, 56, 56, 51, 62, 63, 51, 76, 72, 51, 51, 66, 71]]"
4426          ,0     ,7       ,5          ,5      ,2.374155855194012  ,339         ,25042,"[70, 72, 67, 67, 63]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[125, 116, 127, 54, 73, 82, 98, 73, 53, 56, 160, 133, 107, 84, 83, 82, 84, 57, 69, 55, 52, 51, 51, 55, 95, 51, 52, 51, 51, 78, 62, 51, 51, 51, 51, 53, 51, 51, 52, 51, 56, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 52, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 54, 54, 53, 57, 65, 54], [102, 216, 53, 56, 95, 60, 55, 52, 51, 59, 54, 53, 54, 64, 51, 136, 81, 120, 112, 71, 115, 67, 80, 75, 70, 52, 72, 89, 79, 51, 58, 62, 58, 51, 52, 62, 51, 55, 51, 51, 51, 51, 51, 51, 51, 51, 54, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 54, 54, 55, 61, 63, 54], [149, 57, 90, 68, 51, 64, 80, 57, 74, 78, 163, 158, 81, 89, 79, 88, 74, 73, 68, 64, 54, 51, 76, 76, 54, 60, 65, 72, 52, 52, 51, 55, 51, 51, 51, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 53, 54, 54, 58, 62, 57], [93, 196, 123, 70, 59, 51, 60, 67, 103, 105, 138, 122, 104, 90, 61, 70, 58, 76, 77, 69, 53, 85, 52, 67, 51, 55, 65, 56, 51, 51, 53, 51, 51, 51, 51, 51, 54, 51, 51, 51, 51, 51, 53, 54, 52, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 53, 54, 54, 57, 61, 57, 54], [131, 183, 80, 54, 61, 67, 51, 74, 75, 51, 159, 146, 105, 77, 88, 82, 71, 68, 57, 69, 76, 86, 72, 55, 73, 51, 57, 51, 53, 74, 53, 51, 51, 51, 52, 51, 51, 52, 51, 51, 51, 51, 52, 51, 51, 51, 51, 51, 51, 51, 51, 51, 52, 51, 51, 51, 52, 53, 55, 54, 53, 54, 65]]"
4426          ,0     ,7       ,5          ,10     ,2.374155855194012  ,329         ,25042,"[36, 33, 35, 33, 31, 31, 36, 30, 32, 32]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[73, 99, 77, 100, 134, 78, 71, 56, 60, 53, 58, 61, 57, 60, 51, 58, 51, 51, 52, 62, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 55, 59], [187, 65, 54, 55, 65, 193, 83, 88, 58, 58, 96, 68, 60, 51, 52, 51, 51, 51, 51, 61, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 53, 58], [121, 67, 51, 63, 84, 156, 84, 96, 82, 51, 58, 59, 59, 68, 62, 66, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 52, 53, 54, 58], [95, 57, 58, 79, 164, 79, 75, 70, 60, 63, 52, 51, 51, 51, 51, 51, 52, 52, 52, 51, 51, 51, 51, 51, 52, 51, 51, 51, 51, 51, 53, 54, 57], [126, 66, 51, 56, 53, 60, 181, 80, 89, 61, 60, 70, 53, 74, 67, 60, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 54, 60], [119, 62, 87, 52, 164, 98, 108, 58, 53, 52, 51, 92, 70, 51, 55, 52, 51, 51, 55, 52, 51, 51, 51, 51, 55, 51, 51, 51, 54, 55, 56], [73, 53, 55, 52, 51, 56, 51, 59, 127, 108, 79, 97, 74, 74, 80, 52, 65, 51, 59, 51, 51, 51, 51, 51, 52, 51, 51, 51, 51, 51, 51, 51, 51, 53, 53, 61], [99, 63, 74, 77, 152, 85, 84, 79, 71, 70, 81, 63, 59, 51, 51, 52, 52, 53, 51, 51, 51, 51, 51, 51, 51, 51, 52, 54, 53, 61], [126, 60, 58, 134, 127, 98, 63, 64, 72, 61, 70, 64, 53, 52, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 53, 51, 51, 52, 52, 54, 53, 59], [108, 68, 54, 67, 128, 124, 78, 77, 67, 81, 63, 70, 51, 51, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 54, 56]]"
