original_index,y_orig,y_target,n_particles,n_nodes,distance ,n_detections,calls,detections_per_node                   ,distribution_scheme       ,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down
7270,1,3,5,5,2.4076076,152,25017,"[31, 28, 32, 31, 30]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
7270,1,3,5,10,2.4076076,129,25017,"[12, 12, 12, 15, 14, 12, 12, 13, 15, 12]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
860,6,7,5,5,3.7782803,90,25029,"[17, 18, 17, 19, 19]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
860,6,7,5,10,3.7782803,74,25029,"[7, 8, 8, 7, 7, 7, 7, 8, 7, 8]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
6265,4,2,5,5,3.2908084,149,25046,"[29, 30, 30, 28, 32]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
6265,4,2,5,10,3.2908084,126,25046,"[15, 9, 15, 11, 13, 11, 14, 14, 11, 13]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
4426,9,7,5,5,1.8306835,107,25001,"[23, 20, 21, 22, 21]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
4426,9,7,5,10,1.8306835,86,25001,"[9, 7, 9, 9, 7, 9, 9, 7, 10, 10]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
8322,9,5,5,5,2.4176242,162,25065,"[34, 32, 34, 31, 31]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
8322,9,5,5,10,2.4176242,143,25065,"[15, 15, 14, 13, 12, 14, 13, 16, 15, 16]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
769,6,7,5,5,3.2082303,16,25103,"[3, 2, 5, 4, 2]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
769,6,7,5,10,3.2082303,2,25103,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
6949,2,1,5,5,2.774282,155,25055,"[31, 28, 30, 33, 33]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
6949,2,1,5,10,2.774282,135,25055,"[9, 14, 12, 16, 12, 14, 12, 17, 14, 15]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
5311,9,4,5,5,1.5948184,199,25042,"[40, 36, 43, 40, 40]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
5311,9,4,5,10,1.5948184,182,25042,"[15, 19, 19, 17, 18, 17, 19, 19, 22, 17]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
1184,2,9,5,5,2.7266335,46,25083,"[8, 10, 8, 10, 10]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
1184,2,9,5,10,2.7266335,32,25083,"[4, 2, 2, 3, 4, 4, 4, 2, 4, 3]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
6396,4,8,5,5,2.6201591,111,25097,"[20, 23, 23, 23, 22]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
6396,4,8,5,10,2.6201591,82,25097,"[8, 9, 7, 7, 10, 9, 9, 7, 9, 7]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
8666,1,9,5,5,2.6527565,150,25014,"[27, 33, 33, 26, 31]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
8666,1,9,5,10,2.6527565,125,25014,"[12, 12, 14, 14, 14, 13, 12, 12, 10, 12]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
2047,6,2,5,5,2.7902315,56,25004,"[10, 10, 11, 14, 11]",embedded_distance_based_20,0.25,0.05,mnist,1.05,0.99
