original_index,y_orig,y_target,n_particles,n_nodes,distance ,n_detections,calls,detections_per_node                       ,distribution_scheme                        ,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down,detections_all                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,threshold
7270          ,1     ,3       ,5          ,10     ,2.4072444,131         ,25000,"[14, 14, 11, 14, 15, 12, 11, 14, 14, 12]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[110, 70, 85, 382, 434, 311, 170, 106, 87, 80, 56, 51, 51, 51], [137, 102, 105, 92, 718, 389, 103, 127, 88, 65, 61, 54, 51, 54], [130, 84, 400, 700, 262, 76, 95, 64, 51, 51, 54], [145, 119, 102, 79, 359, 470, 339, 173, 88, 86, 66, 54, 51, 51], [139, 129, 112, 88, 270, 516, 151, 397, 84, 90, 60, 51, 51, 56, 51], [142, 82, 76, 65, 776, 515, 91, 88, 60, 57, 51, 52], [142, 729, 152, 306, 103, 95, 69, 53, 53, 52, 51], [129, 124, 125, 90, 98, 742, 180, 290, 111, 74, 72, 53, 51, 52], [161, 122, 94, 88, 384, 454, 297, 268, 118, 89, 71, 51, 51, 51], [129, 96, 72, 697, 252, 208, 155, 86, 102, 55, 52, 51]]"                                                                                                                                                                                             ,0.25
860           ,6     ,7       ,5          ,10     ,3.7782803,71          ,25029,"[7, 9, 8, 6, 6, 6, 8, 7, 6, 8]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[974, 108, 172, 102, 86, 107, 80], [259, 920, 187, 108, 169, 88, 62, 100, 75], [833, 166, 147, 156, 87, 72, 119, 71], [1319, 158, 202, 99, 92, 89], [974, 132, 135, 160, 114, 138], [127, 174, 77, 84, 115, 88], [1124, 233, 132, 150, 87, 97, 90, 69], [1228, 133, 140, 79, 80, 96, 64], [123, 113, 134, 100, 95, 85], [1133, 169, 136, 151, 95, 94, 85, 91]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0.25
6265          ,4     ,2       ,5          ,10     ,3.2908084,131         ,25046,"[16, 12, 15, 12, 13, 11, 15, 13, 14, 10]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[125, 850, 139, 92, 86, 62, 58, 56, 62, 57, 72, 91, 73, 57, 69, 62], [725, 197, 110, 98, 57, 54, 67, 78, 64, 82, 71, 68], [150, 883, 141, 82, 64, 74, 69, 88, 63, 62, 79, 67, 57, 54, 59], [146, 54, 105, 76, 61, 75, 71, 68, 59, 76, 54, 53], [870, 143, 65, 73, 82, 69, 57, 66, 60, 98, 75, 62, 80], [793, 226, 74, 130, 75, 73, 94, 76, 77, 64, 62], [861, 84, 180, 86, 74, 75, 63, 65, 84, 56, 57, 73, 72, 60, 61], [111, 811, 167, 80, 55, 92, 63, 78, 61, 69, 84, 72, 80], [732, 174, 66, 77, 69, 83, 58, 66, 73, 77, 64, 91, 68, 65], [966, 76, 56, 113, 79, 83, 72, 75, 59, 61]]"                                                                                                                                                                                                                               ,0.25
4426          ,9     ,7       ,5          ,10     ,1.8439413,59          ,25004,"[5, 6, 6, 5, 5, 5, 8, 5, 6, 8]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[1389, 104, 97, 60, 58], [472, 834, 425, 68, 101, 54], [878, 637, 60, 115, 56, 57], [1181, 343, 68, 107, 54], [1549, 91, 131, 68, 58], [864, 139, 59, 118, 55], [1195, 304, 83, 114, 60, 53, 53, 61], [232, 1276, 219, 70, 99], [1636, 64, 103, 54, 53, 57], [391, 552, 467, 213, 76, 96, 57, 54]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0.25
8322          ,9     ,5       ,5          ,10     ,2.4367049,137         ,25101,"[12, 20, 12, 14, 12, 11, 13, 14, 15, 14]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[946, 206, 61, 67, 59, 67, 129, 60, 73, 58, 69, 84], [165, 408, 615, 260, 62, 63, 55, 52, 62, 67, 70, 76, 75, 73, 56, 54, 61, 65, 56, 53], [906, 263, 59, 54, 62, 95, 56, 64, 69, 129, 75, 82], [1118, 241, 54, 59, 55, 54, 124, 54, 78, 52, 65, 68, 57, 52], [929, 236, 59, 63, 61, 92, 79, 59, 80, 65, 59, 71], [755, 101, 272, 55, 66, 59, 80, 82, 145, 58, 69], [139, 93, 68, 57, 63, 69, 75, 56, 81, 92, 59, 63, 88], [273, 56, 58, 58, 58, 70, 70, 75, 67, 92, 51, 64, 73, 56], [1005, 229, 56, 67, 53, 56, 65, 74, 71, 74, 89, 66, 66, 75, 51], [1006, 91, 150, 60, 69, 58, 55, 94, 69, 70, 59, 77, 63, 67]]"                                                                                                                                                                                                    ,0.25
769           ,6     ,7       ,5          ,10     ,3.2082303,1           ,25103,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[], [], [], [], [2007], [], [], [], [], []]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,0.25
6949          ,2     ,1       ,5          ,10     ,2.824667 ,144         ,25001,"[14, 13, 13, 16, 15, 15, 16, 16, 13, 13]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[129, 273, 595, 81, 79, 70, 72, 86, 118, 98, 84, 53, 65, 69], [139, 761, 114, 68, 112, 69, 80, 80, 82, 133, 59, 58, 107], [141, 882, 83, 88, 88, 95, 76, 76, 108, 82, 56, 60, 96], [119, 130, 314, 598, 67, 61, 96, 59, 73, 126, 90, 102, 66, 55, 54, 75], [165, 120, 876, 98, 75, 77, 93, 68, 92, 85, 114, 66, 62, 55, 76], [167, 115, 949, 100, 100, 83, 69, 98, 107, 77, 105, 56, 56, 63, 64], [125, 121, 859, 104, 61, 95, 76, 128, 79, 117, 58, 84, 56, 59, 57, 64], [137, 552, 385, 75, 54, 99, 65, 65, 86, 73, 131, 79, 53, 61, 61, 66], [525, 409, 81, 67, 80, 75, 80, 128, 92, 67, 74, 63, 71], [135, 780, 100, 83, 78, 77, 97, 63, 120, 87, 60, 59, 85]]"                                                                                                                                                     ,0.25
5311          ,9     ,4       ,5          ,10     ,1.5977955,186         ,25028,"[16, 21, 17, 15, 19, 18, 18, 18, 23, 21]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[320, 546, 87, 61, 65, 61, 60, 57, 102, 54, 73, 53, 53, 56, 57, 53], [223, 123, 771, 67, 68, 63, 57, 56, 57, 77, 53, 55, 54, 88, 97, 54, 59, 54, 53, 56, 53], [195, 765, 109, 61, 57, 55, 72, 54, 73, 54, 81, 79, 55, 53, 53, 53, 53], [169, 804, 87, 65, 57, 60, 66, 68, 76, 85, 59, 57, 53, 54, 53], [414, 405, 68, 65, 61, 76, 56, 54, 63, 66, 63, 96, 53, 53, 53, 57, 53, 53, 57], [158, 147, 814, 80, 60, 65, 72, 63, 65, 53, 97, 68, 67, 54, 53, 53, 53, 53], [167, 180, 145, 803, 82, 65, 60, 58, 67, 55, 56, 69, 68, 61, 73, 56, 54, 57], [209, 354, 582, 63, 86, 64, 74, 58, 61, 54, 85, 89, 53, 55, 54, 53, 55, 53], [187, 772, 72, 68, 60, 68, 57, 61, 57, 60, 56, 75, 55, 60, 61, 53, 54, 54, 54, 53, 54, 53, 53], [134, 214, 826, 62, 71, 58, 64, 58, 56, 57, 59, 80, 74, 55, 64, 54, 53, 54, 53, 53, 53]]",0.25
1184          ,2     ,9       ,5          ,10     ,2.7266335,32          ,25083,"[2, 4, 3, 3, 4, 4, 2, 3, 3, 4]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[1472, 344], [244, 1388, 217, 299], [218, 1467, 245], [237, 1217, 196], [209, 1345, 146, 210], [195, 1327, 228, 218], [1291, 235], [1265, 221, 261], [565, 916, 259], [146, 1282, 346, 173]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,0.25
6396          ,4     ,8       ,5          ,10     ,2.642755 ,94          ,25027,"[11, 9, 10, 9, 8, 10, 7, 11, 11, 8]"     ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[104, 71, 81, 116, 297, 101, 126, 76, 64, 73, 73], [98, 143, 285, 149, 95, 68, 76, 77, 61], [747, 187, 82, 109, 270, 103, 96, 67, 103, 78], [776, 245, 54, 403, 117, 75, 55, 80, 61], [111, 83, 315, 115, 81, 77, 90, 71], [632, 248, 109, 402, 107, 96, 73, 72, 64, 74], [114, 136, 311, 142, 64, 81, 65], [1017, 93, 82, 108, 393, 77, 127, 73, 68, 68, 54], [93, 82, 131, 257, 128, 70, 69, 60, 66, 76, 69], [264, 96, 90, 361, 140, 54, 74, 86]]"                                                                                                                                                                                                                                                                                                                                                                   ,0.25
