original_index,y_orig,y_target,n_particles,n_nodes,distance,n_detections,calls,detections_per_node,distribution_scheme,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down
7270,1,3,5,5,2.4076076,160,25017,"[30, 33, 35, 32, 30]",round_robin,0.25,0.05,mnist,1.05,0.99
7270,1,3,5,10,2.4076076,138,25017,"[15, 12, 16, 10, 13, 11, 18, 14, 15, 14]",round_robin,0.25,0.05,mnist,1.05,0.99
860,6,7,5,5,3.7782803,95,25029,"[18, 20, 19, 17, 21]",round_robin,0.25,0.05,mnist,1.05,0.99
860,6,7,5,10,3.7782803,79,25029,"[7, 8, 7, 9, 7, 8, 8, 8, 6, 11]",round_robin,0.25,0.05,mnist,1.05,0.99
6265,4,2,5,5,3.2908084,151,25046,"[21, 29, 33, 35, 33]",round_robin,0.25,0.05,mnist,1.05,0.99
6265,4,2,5,10,3.2908084,131,25046,"[11, 15, 13, 13, 12, 7, 9, 17, 17, 17]",round_robin,0.25,0.05,mnist,1.05,0.99
4426,9,7,5,5,1.8306835,109,25001,"[26, 22, 19, 21, 21]",round_robin,0.25,0.05,mnist,1.05,0.99
4426,9,7,5,10,1.8306835,88,25001,"[10, 10, 7, 8, 10, 12, 9, 7, 8, 7]",round_robin,0.25,0.05,mnist,1.05,0.99
8322,9,5,5,5,2.4176242,164,25065,"[36, 31, 31, 32, 34]",round_robin,0.25,0.05,mnist,1.05,0.99
8322,9,5,5,10,2.4176242,146,25065,"[14, 14, 14, 12, 19, 19, 14, 13, 15, 12]",round_robin,0.25,0.05,mnist,1.05,0.99
769,6,7,5,5,3.2082303,18,25103,"[6, 4, 4, 2, 2]",round_robin,0.25,0.05,mnist,1.05,0.99
769,6,7,5,10,3.2082303,1,25103,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",round_robin,0.25,0.05,mnist,1.05,0.99
6949,2,1,5,5,2.774282,162,25055,"[33, 30, 29, 36, 34]",round_robin,0.25,0.05,mnist,1.05,0.99
6949,2,1,5,10,2.774282,142,25055,"[16, 14, 12, 18, 17, 12, 12, 13, 16, 12]",round_robin,0.25,0.05,mnist,1.05,0.99
5311,9,4,5,5,1.5948184,199,25042,"[42, 36, 33, 41, 47]",round_robin,0.25,0.05,mnist,1.05,0.99
5311,9,4,5,10,1.5948184,179,25042,"[16, 16, 14, 19, 23, 22, 17, 15, 18, 19]",round_robin,0.25,0.05,mnist,1.05,0.99
1184,2,9,5,5,2.7266335,46,25083,"[11, 6, 11, 8, 10]",round_robin,0.25,0.05,mnist,1.05,0.99
1184,2,9,5,10,2.7266335,32,25083,"[5, 2, 4, 2, 1, 2, 2, 5, 3, 6]",round_robin,0.25,0.05,mnist,1.05,0.99
6396,4,8,5,5,2.6201591,119,25097,"[24, 22, 24, 22, 27]",round_robin,0.25,0.05,mnist,1.05,0.99
6396,4,8,5,10,2.6201591,98,25097,"[12, 10, 10, 7, 13, 8, 5, 10, 12, 11]",round_robin,0.25,0.05,mnist,1.05,0.99
8666,1,9,5,5,2.6527565,150,25014,"[25, 31, 30, 34, 30]",round_robin,0.25,0.05,mnist,1.05,0.99
8666,1,9,5,10,2.6527565,127,25014,"[8, 11, 12, 16, 14, 13, 12, 15, 13, 13]",round_robin,0.25,0.05,mnist,1.05,0.99
2047,6,2,5,5,2.7902315,51,25004,"[11, 5, 15, 10, 10]",round_robin,0.25,0.05,mnist,1.05,0.99
2047,6,2,5,10,2.7902315,42,25004,"[3, 2, 8, 4, 5, 6, 0, 6, 5, 3]",round_robin,0.25,0.05,mnist,1.05,0.99
1899,8,6,5,5,3.605195,82,25000,"[16, 16, 17, 17, 16]",round_robin,0.25,0.05,mnist,1.05,0.99
1899,8,6,5,10,3.605195,59,25000,"[6, 5, 6, 7, 6, 6, 7, 5, 6, 5]",round_robin,0.25,0.05,mnist,1.05,0.99
1267,8,2,5,5,3.0455158,75,25006,"[16, 17, 14, 15, 13]",round_robin,0.25,0.05,mnist,1.05,0.99
1267,8,2,5,10,3.0455158,54,25006,"[5, 4, 5, 4, 5, 8, 7, 6, 7, 3]",round_robin,0.25,0.05,mnist,1.05,0.99
3556,5,2,5,5,2.5395494,179,25018,"[37, 43, 32, 32, 35]",round_robin,0.25,0.05,mnist,1.05,0.99
3556,5,2,5,10,2.5395494,165,25018,"[15, 20, 16, 16, 15, 20, 18, 14, 15, 16]",round_robin,0.25,0.05,mnist,1.05,0.99
8838,2,4,5,5,2.086038,57,25004,"[10, 12, 10, 13, 12]",round_robin,0.25,0.05,mnist,1.05,0.99
8838,2,4,5,10,2.086038,44,25004,"[3, 3, 3, 5, 5, 4, 6, 5, 5, 5]",round_robin,0.25,0.05,mnist,1.05,0.99
5393,4,3,5,5,4.1879363,24,25046,"[5, 6, 5, 4, 4]",round_robin,0.25,0.05,mnist,1.05,0.99
5393,4,3,5,10,4.1879363,11,25046,"[1, 2, 1, 0, 1, 2, 1, 1, 1, 1]",round_robin,0.25,0.05,mnist,1.05,0.99
8792,6,1,5,5,3.0020077,48,25040,"[13, 8, 8, 9, 10]",round_robin,0.25,0.05,mnist,1.05,0.99
8792,6,1,5,10,3.0020077,34,25040,"[7, 3, 3, 4, 2, 3, 2, 3, 3, 4]",round_robin,0.25,0.05,mnist,1.05,0.99
7513,7,4,5,5,1.6416476,139,25056,"[28, 26, 23, 28, 34]",round_robin,0.25,0.05,mnist,1.05,0.99
7513,7,4,5,10,1.6416476,127,25056,"[11, 13, 8, 16, 18, 15, 10, 12, 11, 13]",round_robin,0.25,0.05,mnist,1.05,0.99
7041,7,3,5,5,2.0353968,178,25036,"[40, 37, 35, 35, 31]",round_robin,0.25,0.05,mnist,1.05,0.99
7041,7,3,5,10,2.0353968,157,25036,"[20, 18, 20, 16, 15, 17, 14, 11, 13, 13]",round_robin,0.25,0.05,mnist,1.05,0.99
