detections,calls,ci
0.1,51,0.13148079707698765
0.15,52,0.15649345034217885
0.2,61,0.17530772943598352
0.25,64,0.1897761839641634
0.3,65,0.20084023501280807
0.35,68,0.20904114427547504
0.4,72,0.2147072425420251
0.45,77,0.2180362355206125
0.5,83,0.21913466179497937
0.55,84,0.2180362355206125
0.6,101,0.21470724254202514
0.7,102,0.28062929284021654
0.75,105,0.30600490192152147
0.8,110,0.2972487174068208
0.85,114,0.28655575373738346
0.9,121,0.30678852651297117
0.95,124,0.3242896853123761
1.0,125,0.3099032106965012
1.05,128,0.3242896853123762
1.1,137,0.3366410551314263
1.15,138,0.3471745958447997
1.2,140,0.35605168164186496
1.25,144,0.3633937258676875
1.3,152,0.3692922961557687
1.35,153,0.3986805738934366
1.4,154,0.42491787441810447
1.45,163,0.42660965764970676
1.5,165,0.44909241810567235
1.55,177,0.44855746566075566
1.6,179,0.46794358634348215
1.65,180,0.48556997436002963
1.7,188,0.46174538438407803
1.75,189,0.4570415736013519
1.8,191,0.4720305074886579
1.85,199,0.48556997436002963
1.9,203,0.4977782638886516
1.95,204,0.5272910012507325
2.0,205,0.5543717164502532
2.05,206,0.5272910012507326
2.1,209,0.5349758873070822
2.2,214,0.5111054685678877
2.25,217,0.53452689361715
2.3,221,0.5385543612301362
2.35,225,0.5236355602897877
2.4,230,0.543877927480055
2.5,231,0.5629671393607268
2.55,236,0.5625404874317937
2.6,240,0.5612585856804331
2.65,242,0.5760366307796753
2.7,250,0.5896310710944599
2.75,255,0.617866490433006
2.8,256,0.6441217276260753
2.85,258,0.6240530426173725
2.9,260,0.6335986111095888
2.95,268,0.642255245210189
3.0,270,0.6198064213930023
3.05,274,0.642255245210189
3.15,280,0.6541087065618375
3.25,281,0.6628597136649655
3.35,288,0.639257538086177
3.4,293,0.6559414608027151
3.45,304,0.6714966865145353
3.5,306,0.6998599859971992
3.55,310,0.6856499106687028
3.6,311,0.698486363503254
3.65,313,0.7238081237455131
3.7,316,0.7346732607084594
3.8,319,0.7411806797266102
3.85,332,0.7625760289964535
3.9,333,0.7704071650757149
3.95,335,0.77754215319814
4.0,337,0.7716527716531575
4.1,339,0.7578385052239033
4.15,357,0.787361543383978
4.2,365,0.8152280662489486
4.25,368,0.7946464622711158
4.35,370,0.8231416645997212
4.4,373,0.8128685010504465
4.45,383,0.8254718650565869
4.5,385,0.8487048957087499
4.55,392,0.8596672612121505
4.6,398,0.8699397680299481
4.65,401,0.8574299971426239
4.7,416,0.8885093134008217
4.75,421,0.886073924681231
4.8,425,0.8938975332777241
4.9,426,0.8971149313215113
4.95,427,0.9138204418812265
