detections,calls,ci
0.05,74,0.09551858457912782
0.1,76,0.13148079707698765
0.15,109,0.15649345034217885
0.2,143,0.17530772943598352
0.25,146,0.1897761839641634
0.3,149,0.20084023501280807
0.35,154,0.20904114427547507
0.45,155,0.2583559559986957
0.5,183,0.2592836284843299
0.55,190,0.2583559559986957
0.6,202,0.2555527342839439
0.65,206,0.2508110842845666
0.7,213,0.2440180321205791
0.75,231,0.23499574464232326
0.8,232,0.2629615941539753
0.85,234,0.2508110842845666
0.9,242,0.27369910485787124
0.95,243,0.2583559559986957
1.0,245,0.24004999479275144
1.05,257,0.2931821959123712
1.1,285,0.2736991048578712
1.15,289,0.2865557537373835
1.2,290,0.2972487174068208
1.25,300,0.30600490192152147
1.3,327,0.28062929284021654
1.35,330,0.28655575373738357
1.4,338,0.3220608638130377
1.45,343,0.32428968531237623
1.5,374,0.3795523679283268
1.55,387,0.3789192526119517
1.6,389,0.37701352760875834
1.65,395,0.3986805738934366
1.7,399,0.39444239123096286
1.75,411,0.3633937258676875
1.85,426,0.3738157300061088
1.9,429,0.36405384217173153
1.95,436,0.3789192526119516
2.0,440,0.36668242390384626
2.05,450,0.37891925261195153
2.1,459,0.41346245295068806
2.15,469,0.46537103476688363
2.2,496,0.472030507488658
2.25,497,0.49729568668951873
2.3,510,0.48209625594895467
2.35,517,0.5049615826971394
2.4,535,0.5259231883079506
2.45,541,0.5272910012507325
2.5,547,0.5277461510991814
2.55,560,0.5625404874317937
2.6,570,0.6104385308939795
2.65,576,0.6084687337899951
2.7,609,0.6366229653413392
2.75,647,0.6482090712108246
2.8,679,0.6873985743366071
2.85,681,0.6967655272758548
2.9,685,0.7450578501029299
2.95,686,0.77754215319814
3.0,756,0.796155763654324
3.05,773,0.8370255671124985
3.1,781,0.8532193152994133
3.15,783,0.8903988993703887
3.2,814,0.9358871726869643
3.25,876,0.9787742334164706
3.3,912,1.0287666402056395
3.35,971,1.075993587341486
3.4,1037,1.129341046805614
3.45,1050,1.1128503043985747
3.5,1112,1.104403911619295
3.55,1555,1.0866516461129574
3.6,1666,1.0771087224602724
3.65,1673,1.0848825742908768
3.7,1743,1.0744304537753944
3.75,1744,1.0634241862963245
3.8,1763,1.0609376984535897
3.85,1804,1.0579915878682589
3.9,1818,1.0726412261329505
3.95,1833,1.0598055482021218
4.0,1848,1.0735362127101253
4.05,1861,1.0688291725060652
4.1,1864,1.0636499424152666
4.15,1870,1.0670305525147814
4.2,1873,1.0699517746141645
4.25,1887,1.072417362783725
4.3,1905,1.0921615265151943
4.35,1909,1.1111229454925318
4.4,1926,1.1208047109108705
4.45,1938,1.1299786723651026
4.5,1944,1.130191134277738
4.6,1963,1.1628599227765999
4.65,1972,1.1863668066833293
4.7,1983,1.193026739013003
4.75,1990,1.207231129485982
4.8,1997,1.188994869627283
4.85,2001,1.2024484188521352
4.9,2017,1.1914156285696438
4.95,2018,1.204044766609614
5.0,2022,1.2318408988177003
5.05,2046,1.2509883292820918
5.1,2050,1.246566163506775
5.15,2052,1.2647316711460972
5.2,2070,1.2822654951296164
5.25,2074,1.3065645793453913
5.3,2081,1.3372601841077898
5.35,2097,1.3598713909778377
5.4,2103,1.3817652477899418
5.45,2113,1.3542096588047212
5.5,2122,1.3329441098560733
5.55,2124,1.3542096588047212
5.6,2125,1.339413005760359
5.65,2127,1.324088441154895
5.7,2135,1.3586349031288723
5.75,2141,1.3850628144600519
5.8,2148,1.410655450491012
5.85,2166,1.4016055793267945
5.9,2167,1.4262283127185493
5.95,2172,1.4233635515917922
6.0,2177,1.446952659902873
6.05,2186,1.4828471937458692
6.1,2188,1.4595092325847068
6.15,2199,1.4880195563231016
6.2,2202,1.5156770104478063
6.25,2204,1.5047069482128403
6.3,2218,1.5314361886804162
6.35,2228,1.5262536486442875
6.4,2241,1.564320683236017
6.45,2253,1.5951739090143116
6.5,2258,1.5892929245422316
6.55,2269,1.619077453366577
6.6,2282,1.6186325092497058
6.65,2295,1.6589232049736362
6.75,2305,1.7135994281044797
6.8,2320,1.7453907298940257
6.85,2333,1.749100969069539
6.9,2349,1.7904790420443355
6.95,2357,1.8254062013699854
7.0,2372,1.8594192641790066
7.05,2384,1.8670221744799926
7.1,2400,1.9098688960240178
7.15,2408,1.9466017055371134
7.2,2414,1.9678243824081454
7.25,2423,2.00301547672503
7.3,2436,2.0136555812750103
7.35,2439,2.0097169452437824
7.4,2466,1.991113055554606
7.45,2474,2.0296885968049385
7.5,2486,2.029806887366382
7.55,2488,2.0438345823476025
7.6,2495,2.0668476479895657
7.65,2503,2.066266730119807
7.7,2525,2.106886043429972
7.75,2539,2.1240242465659374
7.8,2547,2.149754590645174
7.85,2550,2.121309548368649
7.95,2576,2.175842779246699
8.0,2586,2.160449953134763
8.05,2598,2.1890444947510774
8.1,2615,2.190908304790504
8.15,2627,2.235925356535857
8.2,2649,2.2671702185764526
8.25,2667,2.272564850559825
8.3,2668,2.2861532757013467
8.35,2706,2.2784736557616814
8.4,2711,2.312467772748412
8.45,2718,2.321069537950123
8.5,2755,2.3376646466078057
8.55,2762,2.3742509976832693
8.6,2772,2.386053478026006
8.65,2813,2.4254752523990013
8.7,2824,2.4445058396330324
8.8,2864,2.481548871168972
8.85,2866,2.4686470383592707
8.9,2880,2.4904343396283304
8.95,2915,2.5346786384076383
9.0,2947,2.513848046322609
9.05,2966,2.5610645833324854
9.1,2982,2.551390052500793
9.15,2983,2.5490363277128867
9.2,3017,2.5987560100940605
9.25,3023,2.5886658726069687
9.3,3052,2.5820721910899387
9.35,3082,2.5827230203798472
9.4,3104,2.5794672318135774
9.45,3110,2.5722899914278714
9.5,3140,2.576114127906603
9.55,3159,2.576020923828065
9.6,3166,2.601710821747874
9.65,3176,2.6233082548568323
9.7,3185,2.6590345616407465
9.75,3200,2.654606373833981
9.8,3224,2.6354530540307484
9.85,3239,2.6740714650136033
9.9,3249,2.6799013414676294
9.95,3250,2.7069118567105206
10.0,3265,2.7052260534010832
10.05,3268,2.7281165297692107
10.1,3291,2.7680446528190252
10.15,3310,2.7484588772619465
10.2,3317,2.7495942973464285
10.25,3319,2.7748886464144826
10.3,3333,2.803211158653589
10.35,3343,2.8446177599108107
10.4,3351,2.8517831614623153
10.45,3356,2.8351486380787874
10.5,3371,2.862204045836006
10.55,3385,2.8452929198941885
10.65,3394,2.917948971452379
10.7,3417,2.927232276400354
10.75,3423,2.9558821018437116
10.8,3450,3.0001447965056616
10.85,3461,2.9959002319837023
10.9,3467,2.972164060074746
11.0,3469,2.969254451878451
11.05,3471,2.944814391434543
11.1,3481,2.9753936210189065
11.15,3501,3.02143710839726
11.2,3510,3.0509337587040464
11.25,3511,3.036023550633295
11.3,3523,3.014515682493624
11.35,3526,3.027787674193816
11.4,3532,3.0597351519371734
11.45,3550,3.0473903261643396
11.5,3553,3.094380067154001
11.55,3555,3.0911971467378137
11.6,3561,3.1218807152099832
11.65,3581,3.136842074443659
11.7,3583,3.169811477044021
11.75,3603,3.1569844788975443
11.8,3607,3.2044651347767847
11.85,3608,3.203490939584502
11.9,3621,3.172234417567529
11.95,3622,3.2040904793716427
12.0,3634,3.2384514818042276
12.05,3638,3.254647722872631
12.15,3659,3.2922020290377083
12.2,3673,3.3250751570453256
12.25,3685,3.360342690857586
12.3,3689,3.3780871510368113
12.35,3711,3.426568283282853
12.4,3714,3.4269186158997127
12.45,3724,3.4605935618041017
12.5,3725,3.4523273309464733
12.55,3736,3.4882356285090603
12.6,3740,3.507250090883169
12.7,3766,3.5282722117206315
12.75,3775,3.562876225747956
12.8,3795,3.564829981920596
12.85,3796,3.5639542926361996
12.9,3799,3.5575484817497567
12.95,3817,3.607345256556406
13.0,3835,3.643175537906456
13.05,3843,3.623284118034356
13.1,3847,3.624410462406265
13.15,3857,3.628052122007069
13.2,3858,3.6236154321340455
13.25,3863,3.5977480456530024
13.3,3875,3.6487072779273486
13.35,3887,3.6858293774942967
13.4,3899,3.6887595747080075
13.45,3928,3.7406614121034796
13.5,3938,3.779040618993132
13.55,3948,3.7840565270619297
13.6,3971,3.788939059948048
13.65,3979,3.8414874983526888
13.7,3989,3.8808494946338747
13.75,3995,3.862928293406441
13.8,4016,3.869697249139782
13.85,4022,3.876330507064638
13.9,4037,3.929543383142626
13.95,4040,3.9698468232414212
14.0,4041,3.9735344468118052
14.05,4070,3.981924635148185
14.1,4073,3.990176838186498
14.2,4091,4.084613665941982
14.25,4104,4.075845801793783
14.3,4118,4.097525204315404
14.4,4125,4.116933227537216
14.45,4126,4.103088080945862
14.5,4135,4.107825215366398
14.55,4153,4.149637550437387
14.6,4177,4.161020451764205
14.65,4199,4.183750733492615
14.7,4206,4.194812129285411
14.75,4209,4.237579379787475
14.8,4228,4.250534648723616
14.85,4251,4.256574467808592
14.9,4272,4.2692471467461335
14.95,4308,4.292970510031487
15.0,4328,4.285189377378787
15.05,4329,4.299676708777067
15.1,4359,4.325120946285779
15.15,4410,4.317064071796943
15.2,4424,4.344396482827045
15.25,4475,4.373644590041582
15.3,4477,4.367546771358035
15.35,4479,4.3920512519778265
15.4,4526,4.4228302250934295
15.45,4539,4.4164741366841485
15.5,4557,4.427387943245995
15.55,4577,4.459753782441357
15.6,4582,4.4853605429218275
15.65,4584,4.480808208348132
15.7,4628,4.5145995171222
15.75,4637,4.541694727742057
15.8,4638,4.553784887321753
15.85,4660,4.550989584694738
15.9,4679,4.58593929310016
15.95,4697,4.599688228565062
16.0,4710,4.594517602534569
16.05,4730,4.630901834416273
16.1,4738,4.623481718359011
16.2,4754,4.666282117489255
16.25,4756,4.664789705870994
16.35,4781,4.686152601015037
16.4,4796,4.657629783484299
16.45,4812,4.6329752643414785
16.5,4818,4.661957957768388
16.55,4823,4.678358237672699
16.6,4832,4.717048568755679
16.65,4848,4.710681712873414
16.7,4850,4.69603074947343
16.75,4862,4.738327869618141
16.8,4869,4.768080200667768
16.85,4874,4.785521727042935
16.9,4901,4.780752995083514
16.95,4915,4.8239000611538385
17.0,4920,4.854710701988327
17.05,4927,4.873418902577532
17.1,4960,4.854512869485465
17.15,4971,4.886801223704521
17.2,4972,4.930481193555046
17.3,4979,4.947010491195667
17.35,5022,4.980241982072759
17.4,5028,5.024638812889937
17.45,5031,5.045762955193197
17.5,5032,5.043906819123446
17.55,5043,5.020958055988917
17.6,5074,5.055128405886441
17.65,5079,5.10028569788007
17.7,5082,5.122504153243802
17.75,5125,5.157584609097556
17.8,5176,5.1941849023691855
17.85,5227,5.232273138894795
17.9,5282,5.240755594377588
17.95,5323,5.2308045079127155
18.0,5334,5.261057688336062
18.05,5350,5.261924723900941
18.1,5365,5.271817068146428
18.15,5401,5.274321397108825
18.2,5438,5.285826028162486
18.25,5439,5.317120931481623
